,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
327,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",1993,895421,1935
328,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011,1285785,2004
329,MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",1957,68505,1928
330,MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",2018,1408198,1969
331,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",2008,1120193,1971
332,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1999,1002047,1992
333,NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",2010,1065280,1997
334,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1989,814453,1903
335,NEM,Newmont,Materials,Gold,"Denver, Colorado",1969,1164727,1921
336,NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",2013,1564708,2013
337,NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",2015,1564708,2013
338,NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",1976,753308,1984
339,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",1988,320187,1964
340,NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",2000,1111711,1912
341,NDSN,Nordson Corporation,Industrials,Industrial Machinery,"Westlake, Ohio",2022,72331,1935
342,NSC,Norfolk Southern Railway,Industrials,Railroads,"Atlanta, Georgia",1957,702165,1881
343,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1998,73124,1889
344,NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",1957,1133421,1994
345,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017,1513761,2011
346,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",2010,1013871,1992
347,NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",1985,73309,1940
348,NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",2001,1045810,1993
349,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",2019,906163,1980
350,NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",2021,1413447,1953
351,ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",2009,898173,1957
352,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957,797468,1920
353,ODFL,Old Dominion,Industrials,Trucking,"Thomasville, North Carolina",2019,878927,1934
354,OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",1997,29989,1986
355,ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",2022,1097864,1999
356,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",2010,1039684,1906
357,ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",1989,1341439,1977
358,OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey",2021,1821825,2021
359,OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut",2020,1781335,2020
360,PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",1980,75362,1905
361,PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",2017,75677,1959
362,PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",1994,813828,2019
363,PH,Parker Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",1985,76334,1917
364,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",1998,723531,1971
365,PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",2020,1590955,1998
366,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015,1633917,1998
367,PNR,Pentair,Industrials,Industrial Machinery,"Worsley, United Kingdom",2012,77360,1966
368,PEP,PepsiCo,Consumer Staples,Soft Drinks,"Purchase, New York",1957,77476,1898
369,PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985,31791,1937
370,PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",1957,78003,1849
